Start Time (UTC), End Time (UTC), Start Energy (keV), End Energy (keV), Instrument, Notes
2015-04-21T11:25,2015-04-21T12:50,80,20, SEP, followed by SWEA descending tone; no EUV coverage
2015-04-21T12:55,2015-04-21T14:35,5,2, SWEA,
2016-01-06T14:50,2016-01-06T16:24,150,20, SEP,SEP rapid rise in intensity at 15:10 and decline at 16:24; coincides with C3.2 flare seen by EUV (peak 15:34 UTC)
2018-05-05T14:15,2018-05-05T14:52,40,20, SEP, no flare seen in EUV
2021-09-21T10:50,2021-09-21T12:05,80,20, SEP,
2021-10-28T16:55,2021-10-28T18:37,100,20, SEP, leads into a hefty SEP electron event so maybe flare-caused but poor coverage on EUV
2022-02-15T22:55,2022-02-16T01:00,100,20, SEP, leads into a SEP event so maybe flare but poor EUV coverage
2022-05-08T05:25,2022-05-08T06:30,80,20, SEP,
2022-05-17T22:15,2022-05-18T00:30,60,20, SEP,
2022-06-07T04:15,2022-06-07T05:20,80,20, SEP, very unambiguous
2022-06-14T01:10,2022-06-14T03:30,110,20, SEP, suspect flare-related
2022-06-29T20:45,2022-06-29T21:30,80,20, SEP,only seen in 2F
2022-06-30T05:30,2022-06-30T08:30,100,20, SEP, on top of minor SEP event
2022-07-01T16:25,2022-07-01T17:00,80,20, SEP, low intensity and on top of minor SEP event
2022-07-22T17:55,2022-07-22T21:05,80,20, SEP, very clear signature
2022-07-27T02:05,2022-07-27T02:55,130,20, SEP, very dim
2022-07-27T04:05,2022-07-27T04:35,60,20, SEP, overlapping with another
2022-07-27T04:22,2022-07-27T05:01,60,20, SEP, overlapping with another
2022-11-17T10:20,2022-11-17T12:50,40,20, SEP,
2022-11-30T18:00,2022-11-30T20:00,80,20, SEP, very dim
2022-12-13T12:45,2022-12-13T13:20,100,20, SEP,dim; mostly in 2F
2022-12-14T00:00,2022-12-14T01:10,60,20, SEP, dim
2022-12-14T05:05,2022-12-14T07:30,100,20, SEP, sudden onset but slow fall off
2022-12-14T09:05,2022-12-14T11:30,60,20, SEP, sudden onset but slow fall off
2022-12-14T13:30,2022-12-14T15:00,100,20, SEP,
2022-12-25T09:10,2022-12-25T10:05,80,20, SEP,
2022-12-27T18:13,2022-12-27T19:05,80,20, SEP, intense signature; end of DSW event
2023-01-24T11:19,2023-01-24T12:00,50,20, SEP, overlapping
2023-01-24T11:49,2023-01-24T12:20,70,20, SEP, overlapping
2023-01-25T10:30,2023-01-25T11:40,80,20, SEP,
2023-02-24T20:50,2023-02-24T23:30,150,20, SEP, looks flare-like to me but no priorincrease in T counts or EUV observed flare
2023-03-02T18:20,2023-03-02T19:30,50,20, SEP,"anisotropic (primarily in 1R and 2F, much less in 1F and 2R)"
2023-04-28T06:30,2023-04-28T07:11,50,20, SEP, weak and may be a misdetect
2023-07-11T12:05,2023-07-11T13:20,70,20, SEP,"mostly in 1R, 2R, and 2F (little in 1F)"
2023-07-15T08:45,2023-07-15T10:00,80,20, SEP,mostly in 2F; trailing an M1.8 flare seen in EUV
2023-09-19T20:30,2023-09-19T22:00,200,20, SEP, look flare related since abnormally high energy
2023-09-19T23:00,2023-09-20T02:00,100,20, SEP,
2024-01-10T21:30,2024-01-10T23:30,50,20, SEP,
2024-04-03T18:20,2024-04-03T19:45,50,20, SEP, starts while s/c in periapse so hard to identify beginning
2024-05-01T18:35,2024-05-01T19:40,50,20, SEP, dim
2024-05-01T22:10,2024-05-01T23:04,80,23, SEP,primarily in 1R and 2F with little in the other two
2024-06-01T00:50,2024-06-01T02:35,90,20, SEP, isotropic
2024-06-05T02:25,2024-06-05T03:10,60,20, SEP,weak in 1F but present in rest
2024-07-10T21:50,2024-07-10T23:30,100,26, SEP,
2024-07-29T01:20,2024-07-29T02:00,50,20, SEP,
2024-07-29T10:20,2024-07-29T12:40,100,20, SEP,strongest in 2F
2024-08-05T14:05,2024-08-05T15:15,150,20, SEP,mostly isotropic although less strong in 1F initially and strognest in 2R at end; trailing a M4.8 flare
2024-08-07T14:45,2024-08-07T15:45,50,20, SEP,mostly isotropic although less strong in 1F
2024-08-30T07:15,2024-08-30T07:50,50,20, SEP, dim
2024-09-03T08:35,2024-09-03T10:10,150,20, SEP,~45 min after a M6.3 flare seen in EUV so may actually be flare
2024-09-09T01:45,2024-09-09T04:20,90,20, SEP,simultaneous to a M1.2 flare seen by EUV
2024-09-09T14:30,2024-09-09T16:30,150,20, SEP,
2024-09-10T00:30,2024-09-10T01:10,90,20, SEP,only in 1F and 2R
2024-09-10T20:20,2024-09-10T22:30,90,20, SEP,2F/1R
2024-10-05T02:55,2024-10-05T03:30,50,20, SEP,
2024-10-11T12:35,2024-10-11T14:00,120,20, SEP, during SEP event
2024-10-15T19:00,2024-10-15T20:05,120,20, SEP,
2024-12-15T01:30,2024-12-15T04:08,60,2, SEP + SWEA,
2024-12-24T20:55,2024-12-24T21:33,60,20, SEP,also shows in SWEA; primarily in 2F
2025-01-14T06:30,2025-01-14T08:20,60,2, SEP, unkn if flare
2025-01-18T13:40,2025-01-18T14:20,60,20, SEP,predominantly in 1R and 2F
2025-01-18T19:40,2025-01-18T20:15,60,20, SEP,predominantly in 1R and 2F